pol,text
positive,hey andy sori real late in writing tis. So how yer feelin after a bountiful friday? Jus wana tell you did an awesome job. You just go from strength to strength. They ought to give you most talented/versatile performer of the night. Alright\u002c seeya at Talentquest. Hope h2obabes dun get triple.
neutral,i am free tml after 4pm.give me a time?
neutral,U know we watchin at lido?
neutral,YOu have the number of the salon u did rebonding at raffles? How much u paid
neutral,where are you? what are you doing? are you feeling well?
neutral,xy:Most prob i got 2 work. I duno meet where\u002c most prob town lor
neutral,So still have?
neutral,Dun forget to help me terminate my line
neutral,hi\u002c i put the hp to silent mode\u002c did not manage to see it. Nvm pass it to me some other day. It works without a cd right?
neutral,Are you feeling well? have to school? On my way going back. take care
positive,Today first sch reopen\u002c gd luck. Hope everything will be fine 4 u. Jia you...
neutral,i\u2019m done liao. yay! on my way home. u want me to go pick u up? i\u2019ll call u when i\u2019m leaving the hse?
positive,great minds think alike
positive,welcome back! We look forward to meeting you soon. When are you alighting?
positive,yeah... was thinking of going out lor... it\u2019s been a long time since we last went out rite :)
negative,I\u2019ll be in sch fr 4-6... I dun haf da book in sch... It\u2019s at home...
neutral,Me now at chinatown eating... Just now went to temple...
neutral,wat u busy with ?
neutral,His frens go then he in lor. Not alone wif my mum n sis lor.
positive,Hey. We go karaoke another day lah. Today\u002c think we wanna go china town and look see if there\u2019s time. :-)
positive,Haha... Since when i become a salesman.. Lucky she is wise to get it. So i think u must be wiser rite?
positive,Hm. Just not valid with promotion... There is a 20% off and a $5 discount. Ã see which one gives a better deal. Eh. My hair colour super duper obvious... die.
neutral,I have received Kit\u2019s translation and reveiwed and commented. Sent to your email.
positive,I love u ah my dear\u002c i m always supporting u ga... Sleep earlier.. I m going to bathe la
positive,I would love it that way..
neutral,Ya... I noe he\u2019s only some small fry lor\u002c cos he nds to go ard pullin models... Goin to watch movie now lor\u002c w sis...
negative,She\u2019s such an insensitive creature. Makes my blood boil!
neutral,Ok just press bell
neutral,see you la. I wait for you.
negative,you don\u2019t know how much I fucking miss you...
neutral,Mei suddenly say she dun wan go\u002c den i oso dunno ur frens ma... Tmr confirm earlier hor...
neutral,Too cfm with u when u be free for next week?
neutral,So how did u find the talk? No internships u know....only fulltime
neutral,I am here liao see u
neutral,I also need one. But haven\u2019t see what they offer tonight i go home then see... Later got match
positive,Just want to thank you and treat dumpling
neutral,U still in lecture?
positive,Thanks!?? dng work or zzz now?i d??n disturb ?? la\u002ccan give m?? morning call at 7tmr?thanks!
neutral,Can call me when you are awake?
neutral,forgot to inform you that i am wearing a black tshirt with jeans.
positive,u should get it too
neutral,Like dat clash with my timing. Aiyoh\u002c i got to change date again..
neutral,huh? you wanna come in ah? btw\u002c if your dad wants full car\u002c high quality finish may take ard 3K malaysian dollars\u002c and one week. approximately.
neutral,Cos i\u2019ll be bringing my laptop to school tml oso do project so can do wif Ã¼ all lor...
neutral,I got to rush my lab report. Tdy cannot call u k. Tmr u going to school? I meet u in school?
negative,Hey xin... U noe how to print double-Sided? It seems lk there\u2019s no option 4 it leh...
neutral,the url for the game is at www.materiamagica.com
positive,dun forget u still owe me a treat ah..haha
neutral,Leona birthday on sun we meeting on fri for dinner u free ?
positive,Haha... Okay... Then i pon too.
negative,U take ur time? btw u can meet him on Fri mah. I dunno u la?Mama? I dun understand.
neutral,Hi is that yijue? When you free? Eric recommend
neutral,xy:U going 2 bk e tickets for LOTR? Please bk cineleisure.
positive,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
positive,Oh... Kaiez lor... Wa\u002c u so efficient ah\u002c so fast done... Den u confirm w me again lor... C meet where...
negative,Aiyar sorry lor forgot 2 tell u...
positive,Notty lah. Haha. Anyway\u002c its nice. Thanx. E wrapping is nice too.
negative,Nope its salon4hair. I duno how much. Call n ask lah. When u go cut?
negative,nope. not at home now. and wont be going town todae.
neutral,wheres my fallout 2? dhd u bring? or am i goin to claim ur life in compensation?
positive,Lol so excitin siah! Eh i am so sorry about the ktv leh...feel kind of bad!
neutral,Then the comments will include question 1 as well. You later after around 4 or 5 go and check ur mail and c c lor? then u add in ur comments\u002c opinions\u002c..
neutral,Can you let me know asap whether you can make it at that time not cause wil can.
neutral,My pay was $140\u002c once a wk\u002c 2hrs. I check net for price range. Sms u later.
negative,Hey pple... Cant meet ur to shop\u002c cos watchin movie... After my movie den call ur to c if ur still ard...
positive,Jus finished my dinner... Very full my tummy coming out already... Happy new year!
neutral,we meet at 10.30 am at Jurong mrt stat tmr\u002c k?
positive,Actually guys will not care what it is but will remember who send them
neutral,Ok\u002c I\u2019ll let my mom know\u002c what time are you back?
neutral,Did u ask zhu abt the henry thingy? So we going on thurs?
neutral,i mean u getit from   him\u002c then u will knowwho to call mah.
positive,reyes\u002c ronaldo and co are all talented but they do not have the loyalty shown by le tissier.  le god is ze best
negative,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
neutral,Later see how lah. I go change now\u002c call u before i leave.
positive,My dear\u002c i will pray for you... Hope that u won\u2019t be too tired.... I love u
neutral,Hi. I\u2019m at e bus stop outside esplanade. E one opp marina sq rite?
neutral,I come n pick Ã¼ up... Come out immediately aft ur lesson...
neutral,But my lect starts at 2 leh... When r u free anytime b4 2?
negative,So sorry no reply your sms coz too busy just now.
positive,hey i got a job lobang for u.. interested in surveyor job??
negative,Quite ok but a bit ex... U better go eat smth now else i\u2019ll feel guilty...
negative,Ok.. So sorry abt dat. I eat wif u on other day k.
negative,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ã got a lot of work ar?
neutral,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
neutral,Did noe valentine is oso friendship day.. eh heh\u002c long live our friendship and A6!
neutral,Aiyah e rain like quite big leh. If drizzling i can at least run home.
neutral,Did you take lsm1202 human anatomy? If you have the text do you mind lending one of my friends?
negative,Sori I haven\u2019t done anything for today\u2019s meeting.. pls pardon me. Cya guys later at 10am.
neutral,Which one do u bring ur dog to?
neutral,Do you have a CD burner and cable?
positive,For all your eyewear needs\u002c I recommend ted\u2019s eyewear\u002c at parkway parade and jurong point. The one at parkway provides excellent service.
neutral,U want to watch movie after school tmr?
neutral,Can i call him haha? Dont want lah\u002c like i\u2019m using him like t.. U tomw wat time meet lecturer?
neutral,I place all ur points on e cultures module already.
negative,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
neutral,Girl\u2019s team got home united ah? Hmm.. I long time Nv watch Bball liao. Got matches at clementi?
neutral,Okie. See you at 12 then.
neutral,U wan to go for pedicure aft school tmr...
neutral,Bui wat free electives u wan to take huh? I still need one from a1 to a6 u wan to take tog?
neutral,these kind are ad hoc ones
negative,I dont even know if he is back. Leona not coming. I go confirm w shuhui. If she really not coming then we cancel.
neutral,I am leaving from my house. what are you doing? still sleeping or woke up 8:00am?
neutral,U still outside? If too late want me to fetch just call me k.
positive,So pal.. How is your side? Hopefully it is positive reply dude. Or you sleeping already?
positive,Happy Birthday! Hope all your wishes come true and may you have a wonderfully explosive birthday!!! Enjoy!
neutral,Ok... Anyway i so free... Wad time will it be?
neutral,Tmr got to work\u002c n having dinner wif my parent n somemore my sis using car earlier so me n sandy not going.
neutral,yu\u2019s on tv! chk out ch 8 now...
neutral,What time are you ready
neutral,I think so too. Last time i told them i no bf. Now i must think of ways 2 hint them i found 1 already. Wat u doing?
positive,I spent money... Emphasis on sale. Stuff are 50 and 70 percent off. But lucky dont have e one u bought for me. Haha.
positive,hmmm why don wan to check? Where u trip anyway? In ur hse or outside? Oh okie gd gd
neutral,Hey lien... There\u2019s no lab session today rite?
negative,sigh i really need to find a job sia if not next year dunno how to get enough money to go holland
negative,Sorry i accidentally deleted your sister and your ic and names. Pls msg me again. Anyway my mum ask wat time go airport
neutral,Just finish chinese tutorial. Where are you? Wanna go to clementi?
neutral,we r at traders hotel.. room 1026.. jus come along anytime eh
neutral,So anyway\u002c what are you going to get let\u2019s say you get the first prize?
positive,jus started only. u must help mee buy leh or help mee tell your friends leh <(o_o)> mee invest heavily on it leh (-.-) hehe
negative,Nothing to buy\u002c this few weeks also didnt shop much... Wat u doing?
positive,It is nothing. I also very happy. see your face so sweet.
neutral,Can Ã¼ call me at 10:10 to make sure dat i\u2019ve woken up...
positive,Have they ever think of how e ones ey had left behind feel? Anyway u go & do e project or else no more time liao. Thank. & please write ur name on e cover.
negative,Sobz. Erm dunno I never check... dun dare to c. Yupz I\u2019m on the bus already\u002c left the hse at 8:20.
neutral,don\u2019t waste time quick
neutral,Have u watch infernal affair 2 ? Want to watch on e weekend? Xyan is considering.
positive,Happy new year. May all your wishes come true this year and stay happy always yah
neutral,Hmm... CS1105 was light when I took it but there were 3 assignments to complete. It is the lightest computing module I took though.
positive,HOT GOSSIP!!!!!!!! lyd is in love! i can\u2019t believe it... i am so happy for her!! dun tink she will be back for christmas though sighz
neutral,U bath already ah. U still want to come out?
neutral,He used to b my student. Sec 1 is too much for me. Abt pay & time\u002c u got to negotiate wif d mum. is it ok dat i give her ur no?
neutral,oh coz want to get it done soon mah.. u want to meet me at career center tomorrow at eleven?
neutral,I asked lecturer already. extra 10 person is ok
positive,it was great meeting up with you guys. hope to do it again soon!
neutral,I haven?t finish my first shift leh. i think finish first shift can continue second shift. still haven?t dinner\u002c but just have a bread.
positive,I\u2019m fine thanks
neutral,Let me know asap leh
negative,sorrie..i\u2019m busy doing some stuff..so dont tink got time to call u..
positive,hey xuan! i got a brilliant idea! why dun we take up dutch?
positive,Oh ... Anyway\u002c good luck for your match later okie. I\u2019m rooting for you man!
neutral,Cos her tuition will end late lor...Wat time wil ur b in town den... Cos i thgt of watchin how to lose a guy in 10 days oso...
neutral,Got fujitsu\u002c ibm\u002c hp\u002c toshiba... Got a lot of model how to say...
neutral,the cake is here. For supper? Did you get the shawl?
positive,www.nus.edu.sg then click on students. What time is your results? Hmm.. who to ask about the outing? When are we watching? This weekend? And thanks for the book!
neutral,i didn\u2019t buy anything on this trip.. u want to play mahjong next monday?
neutral,Are u home now my dad is going to pick me up from school maybe u can meet me at my place if u have the car
positive,Tom is dating with some girl. hehe
positive,U wan come out later? All of us going out later. Join us lah.
positive,Morning\u002c pal...Ten? Anymore i got nothing to do the next day.. Then we go walk walk first b4 the show...
positive,Lol enjoy your stars i got to sleep...got to work later!
neutral,i jus wakey.. so did u buy tbk\u002c how much is it?
neutral,Can also but lunch will only b ready at 1 smth 2... U hungry?
neutral,xy:Later i might be going suntec or orchard\u002c u wan 2 go or not?
neutral,Ps tel 64549808 98388367 4 mrs ong about tuition mrs lim 64535909 is waiting 4 yr call
neutral,Really he din say... He only told me after i msg u... Then wat u doing now?
neutral,But once u pass to me\u002c it becomes mine 4ever\u002c den when u nid\u002c jialat!
neutral,Later when u call me call my hand phone k...
positive,Aiya\u002c e instructor oso close one eye... Gee\u002c finally finish oredi...
neutral,You want or not? I\u2019m following your decision boss!
positive,Okie.. just saw ur msg\u002c i watching tv\u002c hee..
positive,Wow so many?
positive,And you will be delighted to see wats on the topic
positive,DUN take acct! hehe.think management not bad
positive,Oh okie lor... I dun mind tmr...
neutral,Hi any girl frm kl or pj wan 2 chat?
negative,Yupz... Can walk from tanjong pagar station... But i dunno how to tell u how to walk from there...
neutral,U wake up already? Wat u doing? U picking us up later rite? I\u2019m taking sq825\u002c reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...
neutral,I wld wanna go... Haven buy new clothes yet.. But supposed to meet yixin after her work\u002c tryin to change e appt with her now. Confirm with u later.
positive,happy new year
negative,Stin bk class for you liao\u002c but I can\u2019t go cos my mom is very against it..
neutral,Please pass money to her. No cash le :P
neutral,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
neutral,Y shld i b gd at intviews leh... Anyway\u002c war games sound fun though... I\u2019m oso feelin v tired\u002c soon i\u2019ll have a 6 day wk\u002c haiz...
positive,Oh... I c i c... Haha\u002c xin ask u to take away food 4 her\u002c pau or smethg... Gee\u002c can help me buy packet milo? Thanx sweety...
neutral,you want old cd case? got hundred plus. hurry reply or throw away already
neutral,I\u2019m not driving... Raining! Then i\u2019ll get caught at e mrt station lor.
neutral,I\u2019m doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
neutral,Shan\u002c i got something at pulau ubin in e afternoon... So can\u2019t go... Would love to be there though...
neutral,hi folks\u002c rem we hav a huahui gathering at 7pm at orchard mrt tomorrow. call me if u wil b late. c u all soon.
negative,Doing nothing\u002c then u not having dinner w us?
negative,I gonna be late by half an hr!
positive,Why leh? U like it? Anyway how bright ur hair is i\u2019ll still like you..
neutral,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
neutral,You think i shld take how many? I feel like takin 4 leh like don waste last sem.. Treat the cl modules as extra one lo...
positive,How\u2019s ur preparation? Gd luck for ur paper tmr? And remember to sleep early k. :-)
negative,Gee...So sorry la... My mum oso very sad she missed it... Hmmm... K la\u002c dun thk abt it\u002c enjoy ur trip...
neutral,Yar... I tot u knew dis would happen long ago already.
positive,If the walls could talk \u002c oh they would say  want you more. They  would say\u002c hey\u002c  never felt like this before and that you will always be the one for me
neutral,Have booked table at angel restaurant at faculty club. Meet at twelve noon at outside the restaurant.
neutral,Change dateline again\u002c thk i\u2019ll hand in when i collect e mat package. Oh ya\u002c 23rd is on wed\u002c movie date rite...
neutral,Jus telling u dat i\u2019ll b leaving 4 shanghai on 21st instead so we\u2019ll haf more time 2 meet up cya...
positive,Haha so he know 2 liao... Ok lah then i dont disturb. Should b safe 4 now\u002c but later got some celebration thing i must b on e guard again haiz...
neutral,okok\u002c need to go for class now. msg you later.
neutral,How long more will u take? Now at which stn?
positive,Forget to ask u just now...Do u wanna join us for meditation tomorrow?
negative,Y u scold me... Aiyo y u so poor thing today... Wat time ur parents coming home tmr?
negative,xuan is so petty! i hate him! PUFF!
negative,no choice have to treat her
neutral,Can Ã¼ make it on Wednesday for dinner? Shuhui\u2019s Bday..Any suggestions as to what to get for her? Ã
positive,\K glad t u r back. My new year ok lor. As usual\u002c go grandmas house lor. Today never go pa tuo?
neutral,what modules are u going to register for? can u come online now so we can discuss?
positive,your parallel computing is hot property... better increase points now
neutral,Nvm. maybe next time then!
neutral,The stop after oasis get off hope not too late the reply
neutral,But u really take a long time 2 finish one tut... At this rate when r u going 2 finish all ur tuts...
negative,Nope\u002c i\u2019m not in sch\u002c at home now. Things are ok now but i\u2019m expecting a storm\u002c hee. I\u2019m oso a bit sad about Liwei\u2019s team.
positive,Hi my dears...Ã bill is $155.28 each...Acc no. is 304-00665-0...Thx...Msg u once u transfer so i can make sure it\u2019s in...*hugz* =)
neutral,Mtg at 4.30pm on sat. Please reply to indicate whether you can make it.
negative,i cant go. i have a meeting on that day.
positive,Next time i\u2019ll get a king size bed... Haha
neutral,Hmm. Ok den i try it this time.
neutral,ok ok i go book court then confirm wif u
neutral,Tmr wat time u end? From my house i go pick u first. E rest i\u2019ll tell them to meet at 730 at paragon food cellar.
neutral,For e past 1 week i didnt wash my clothes\u002c den now they come back sure got more to wash\u002c so i just throw mine into e washing machine...
neutral,What time is the show?
neutral,okie you should get bac to your lecture. take care!
neutral,yupz went out for lunch wif my family.. tok to u later!
neutral,what bus can i take. Or shld i take mrt ?
negative,Haiz... They ask me to go back to my department and ask...  Waste my time...
neutral,yupz... I\u2019m goin to bid now liao... U bid 4 some of ur modules oredi?
neutral,My dear\u002c how are u? I m working now\u002c did not see u online...\u002c just heard that pastor ho has given birth...
positive,Happy new year! ^_^
neutral,there are 730pm show and the 9pm show at PS. which one?
neutral,okie... done... we shall meet 7pm at dg k
neutral,Tell me ya confirm time later so i can tell ryan n ron
positive,Dat\u2019s gd. Later i meet u ard 7 k\u002c i wait for my sis to come back first.
negative,He today not free. Aiyah u free\u002c jus now wanted go out but thought u all wont b free. Ok later if she call back then i tell u how.
neutral,Oh\u002cthen shd i join tmr?maybe i can get more sleep h????h????...:p how come ?? still awake so late?:>
neutral,Hey so mei haven got e frame huh... Do we nd to get it den?
negative,Nope\u002c they wun be going
positive,So far so good lor... Starting my 6 day wk tis wk.A bit sian but still can cope la...
neutral,i will give u a call! ok? :)
neutral,U can call me now...
negative,Hey girls\u002c sorry I can?t make it tmr..How at 28th jan? it?s the wed after Chinese new year.
neutral,You ask your friend? I meet my senior but he only know math\u002cy u nv approach pple during d cca bazaar?
positive,Haha\u002c i watched already... Sorry. Anyway i made other plans for tmr already\u002c go out another time lah... Ã enjoy yr birthday party babe..
negative,Havent still waitin as usual... Ã come back sch oredi?
neutral,Here is DARREN from the DREAM INSPIRATION.I would like to invite you a seminar on the wealth creation on this coming WEDNESDAY\u002c7pm\u002c63B BUGIS VILLAGE.
neutral,At plaza sing\u002c 10 pm or marina 1010 pm... Can make it? If not then next day lor...
neutral,hey i will be a bit late coz i meet my frien pass some stuff first..
neutral,Thk will send one mail and confirm lor\u002c they lk nvr check whether we booked oredi anot.
negative,Sorry to trouble u again. Can buy 4d for my dad again? 1405\u002c 1680\u002c 1843. All 2 big 1 small\u002c sat n sun. Thanx.
positive,valuing someone is not jus by seeing each other always. wat counts is dat somehow in our busy lives\u002c we remember each other. take care!
neutral,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
neutral,Yea I\u2019m gng\u002c wanna meet at Orchard MRT 6.45pm (or earlier)?
neutral,Are you wake up? If you woke up give me a call ok?
neutral,How abt making some of the pics bigger?
neutral,let\u2019s meet at taka 2morrow 2 give e stuff 2 each other as i\u2019llbe buying things\u002ck?
positive,Hi pple... ? confirm watching lotr with us... 2mr... 1.30 suntec eng wah rite? If ok\u002c i will buy the tic for ?... Wanna haf lunch? Go jalan n dinner aft movie??
positive,Ic...U wan i can lend u e book to read lor... Haha\u002c newsweek oso nice wat...
negative,Oh ic... Nvr ask ur good fren menghong out ah... I\u2019m oso alone now\u002c waitin 4 my fren to pick me up...
positive,I\u2019m impressed by what you\u2019ve done? Wah! I\u2019m refering to the BZ project? Wah! Wah! Wah! Esp. the ratios? Wah! Wah! Wah!
neutral,Sorry dun want to keep you up too late. Will let you know when i\u2019m on the way...
neutral,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
negative,Hey... I\u2019ll b slightly late... Still on e bus...
positive,will u b able to help me with sorting tml anytime from 12-2pm? it will be at s15 lvl 3 benches near lift and will take ard 30-45 mins-Loo Geok
positive,ok. better apply leave from S1
neutral,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
neutral,I confirm going to claim your book. Hehe. And dinner as well. But I\u2019m still scared there\u2019s no tickets for Lord of the Rings. Pub? I rather go back to my bathtub.
neutral,xy:I think v high probability t she has forgotten wat she say. What u all want 2 do? U cfm w her first lah..
neutral,Wat time u coming to school?
neutral,r u working in amk or bkt pj today? i need to pass you the gift karen gave...
neutral,I\u2019ve sent all the information details to your email. Pls kindly check ur email k?
neutral,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
neutral,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
positive,Good morning. on my way to office. Im feeling well. dont worry about me. have you saw me in your dreaming? hee?
neutral,ok i ll send her the final ver asap then. tell u when submitted.
neutral,E doc is ard 2.2 Mb... So i think u got to have enough space in ur mailbox else it\u2019ll bounce back.
neutral,How\u2019s ur new year? I jus came back yesterday...
positive,aiyah... since u do so many things liaoz... might as well do another thing rite?
positive,Although i told u dat i\u2019m into baig face watches now but i really like e watch u gave cos it\u2019s fr u. Thanx 4 everything dat u\u2019ve done today\u002c i\u2019m touched...
neutral,Jokin only lar... :-) depends on which phone my father can get lor...
negative,dun noe lah. cant b bothered by his nonsense
negative,Sorry I was busy and i didn\u2019t have my phone with me... Sat 6pm at marina mrt right?
neutral,Ã mean it\u2019s confirmed... I tot they juz say oni... Ok then...
neutral,Andy I hope u can ans my icq qn\u002c if not\u002c it\u2019s ok.
neutral,Yup. I pick u ard 830. Call u when i leave.
neutral,Den wat u having for ur lunch? U going ikea wif me?
positive,hey al.. thanx for e gift.. haha.. u haf a wonderful time!!
neutral,Oh... Ok\u002c when u going to finish tuition let me noe...U feel like going anot? If u wan\u002c i go with u lor... Tmr oso can..
neutral,Yes. Going out now. Where to meet?
negative,U still havent got urself a jacket ah?
negative,Paiseh I check newsPaper 2day no tt show? 2day is WwF? dunno y no more liao. Maybe last wk last episode w Friends? I dunno? Sorry.
neutral,Today we meeting for dinner at 730 at crystal jade... Can u make it and how many coming cos we making reservation
neutral,I\u2019m still thkin... I\u2019ll consider after all e talks lor\u002c c which one more interestin...
neutral,tom what time?
neutral,Hey xin ah... Tmr or thurs have to go and pay for e sailin camp leh... They\u2019ve got a sports bazaar...
neutral,mornin. u n jessen on rite? i mean on chris eve.i nd to confirm e list. :-)
positive,I will test my part later. don\u2019t worry okie. good luck and don\u2019t think about program now concentrate on your test
neutral,You should see two files and a textbook
positive,More obvious den mine ah... If it\u2019s nice den ok wat... Ur dad will mind izit... Oh\u002c i juz bought pretty fit\u002c i\u2019ll consider if i still wan e charles n keith.
positive,Lucky e honey i ate is low sugar content.. I hope u find it just nice.. :-)
neutral,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
positive,U good lor. Now i really hungry. E food there nice?
neutral,JJ\u002c got TV card to record program?
neutral,I thk go lor... Dunno how long it\u2019ll last... U goin?
positive,you are cordially invited to wendy\u2019s house on christmas eve at 7pm for a nice christmas dinner. if you like\u002c you can stay overnite too. bring your swimming wear too if you wanna swim
positive,How come ur boy friend so believe in reviews. Ask him choose girl friend need review or not. Dont disturb u all liao. Enjoy!
neutral,Yo.. Reminder and also some slight changes. Lets meet 1715 at sheares hall lobby Tmr..
negative,Hi\u002c today very boring ler...wan go shopping or not?
positive,this sounds interesting!:D
neutral,I reached a long time back
neutral,HI GALS\u002cI CALLED PASTOR HO;PASTOR LI SAID TT WE CAN VISIT HER ONWED EVENING THIS WK.PLS LET ME NOE WHETHER ? CAN MAKE IT ANOT?THANKS! From Huimin
positive,Hi. They not going tonite cos they have a morning class tmw. Think i wont be going either. Have fun.
negative,I am in bus to work so disappointed make you unhappy again. Don?t angry too long coz can be old-old leh!
neutral,Coming soon. Today four of us need to hand in project so not going lect. Later i reach sch then call u.
neutral,U mean at 11? A bit early. I need to work.
neutral,xy:Can i just meet u then u send me 2 bugis or suntec then u go meet her???
neutral,Yup. Anything lor\u002c if u dun wan it\u2019s ok...
neutral,Do you have the final doc for 3214? Erik needs it..
neutral,hi\u002c spotted you at the canteen just now but you were with friends so didn\u2019t bother to call out to you.
neutral,What you mean?
neutral,Got smaller capacity one? Quite ex...
neutral,go on dutch lor... we pay for our own share...
positive,So nice go pa tuo still think of me. Nope at home\u002c didnt go out.
negative,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
neutral,So if in future i want a free haircut\u002c i nd to get e slip of paper from u rite...
neutral,Hey... How come u rent out ur hse again ah...
positive,Erm... i mean is when they determine if you get first class second upper etc they\u2019ll do some moderation.. anyway\u002c ya... jia you!
neutral,ok i am leaving now see u
neutral,we meet at esplanade at 630
neutral,Then u mus have collected a lot of ang bao... My dear this is thailand\u002c they dun celebrate chines new year... Onl e chinese celebrate wat...
positive,we got the best weapon
neutral,Are reached home? i am in 852 bus already remember to take your dinner.
negative,Ya\u002c my tai tai life gona end in a month time... Sob... Old bird?Haha...Only bz w soccer meh\u002c not goin out w gals ah...
positive,If it is still open will he be interested?
neutral,i havn\u2019t tot abt it leh.wat do u wan to eat?
neutral,eh dun forget to bring the handphone i lent u the last time. i have to return my friend
positive,I am going home now 2 prepare yr gifts. Else later no time to do it. Ha ha. After a long shopping walk\u002c finally found something 2 give u. Now for the packaging.
neutral,Eh... Got a few friends go together then ok le right?
neutral,xy:Duno\u002c later c how. Buy vcd also duno wat movie to buy
negative,Hey xin... Sorry\u002c traffic jam... I\u2019m near sch but stuck in jam...
neutral,can help me ask mummy to fund transfer my pocket money to my bank account when u r home?
positive,eh bitch i bought a new handphone! hahahah!
positive,Haha\u002cok\u002cnvr mind lor. Coz need 2 go sch today n my skirts look too dressy. Heh. Nvr mind\u002cu wear what u want!
neutral,Just now in e canteen. I got 4 battles in one week\u002c now at least half dead liao.
neutral,I went the src to play\u002c in the badminton court
neutral,U all r getting lazy... But no need to go very early wat... Juz reach ard 12 can oredi wat...
positive,A happy day for me how about you?:p
neutral,I ask already. She say she not going so early cos she no car. Then ryan also duno coming or not. Xf not coming. I duno abt ron.
neutral,just now already confirm
positive,Haha... Put on weight at e wrong place leh... Ya la\u002c enjoy too much cheesecake oredi... So u r in e bowlin comp...
neutral,1 unit $446. I have to attemp 5 unit\u002c so total 2230.
neutral,Our time slot is 10.30am-12pm. We\u2019re the 2nd last team in that time slot. Coming? :)
positive,wah... u very good lor... push everything to me...
neutral,Hmmm... When u come out den walk right\u002c e area where pple always gather lor...
neutral,Ok tonite then u read then u muz tell me your decision so i can tell you help me bid wat k
neutral,Hey gals\u002c later u all got date? Wan 2 meet?
negative,its juz changes lah...something u cant avoid but u cant put the blame on any 1 thing oso...
neutral,Finish my presentation le three hours standing exhausted. Wat about you
positive,Thanx on behalf of her\u002c i\u2019ll tell her later. Tmr i shld be working in e morining. Anyway i dun even noe e time\u002c e place.
neutral,Take care
positive,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i\u2019ll b bathing my dog later.
positive,Sure i can shop also. Or u wan call darren also can haha... But ur sis how?
negative,Aiyar u so poor thing... I give u my support k... Jia you! I\u2019ll think of u...
neutral,U can call me now...
negative,die la...this new year stuck at home..haveta complete hyp...xianzz
positive,hey that\u2019s great man\u002cyou keep up the good work yeah
positive,Yar else i\u2019ll thk of all sorts of funny things.
neutral,So tonight want 2 eat dinner? If want\u002c i ask the girls..
negative,He got worse than me.
positive,like 15 lor really!
negative,Aiyah one went out\u002c one went aust.. Left me in e end\u002c Haha.. Sorry ah\u002c next time lor..
negative,2 laptop... I noe infra but too slow lar... I wan fast one
positive,Good morning\u002c walking to office loh. my feeling better already. only a little flu. reached office bye!
positive,wow.. amazing sia... xuan actually requested to attend the potluck. he wans to experiment his new dish. hope we dun die of poisoning sia. hiak hiak
neutral,Call me when u finish then i come n pick u.
positive,Dear ah\u002c in e end change to 2 pm again cos last min lecturer wanna meet her 1st...
neutral,If e timing can\u002c then i go w u lor...
neutral,Then we wait 4 u lor... No need 2 feel bad lar...
positive,go watch \u2019Love me if you dare\u2019 at orchard cineleisure. its really good and really twisted and beautiful
positive,Good nite and sweet dreams to u
negative,meet u at orchard mrt station control . 630. dont be late
neutral,Hehe.. How u noe? U can see wat i\u2019m doing? U leh?
neutral,Daddy... I\u2019m collecting my notebook today\u002c dun fetch me at 4. I\u2019ll call u when i\u2019m ready...
neutral,I reach amk mrt. Meet u at first cabin.
neutral,Huh... Waffle machine?thk u send to wrong person...
negative,But y can\u2019t we just start doing it all over again? u say u quitting now\u002c I really can\u2019t continue liao lor. how 2? u think tt ec? Gimme a chance? continue...
negative,I am very tired and very sleepy I cal u tonight ok? bye take care
positive,atta!!!! u so nice!!!!!! thx so much for yr good lobangs!
neutral,Yup. She took very long lor\u002c haha..
negative,Den tt time u oso use e soc one wat... Hiya\u002c u drop my pen\u002c now cant write notes...
neutral,Hey xin ah... Wat time will u b joinin e camp?
negative,Ok... The theory test? when are Ã¼ going to book? I think it\u2019s on 21 may. Coz thought wanna go out with jiayin. But she isnt free
negative,Anything lar then Ã¼ not going home 4 dinner?
neutral,Ok. So now? Which canteen do you prefer?
